sample,hive,type
BBB20_102_drone,BBB20_102,drone
BBB20_061_pool,BBB20_061,pool
BBB20_086_drone,BBB20_086,drone
BBB20_044_pool,BBB20_044,pool
BBB20_014_drone,BBB20_014,drone
BBB20_103_drone,BBB20_103,drone
BBB20_019_pool,BBB20_019,pool
BBB20_117_drone,BBB20_117,drone
BBB20_035_drone,BBB20_035,drone
BBB20_108_drone,BBB20_108,drone
BBB20_073_drone,BBB20_073,drone
BBB20_060_pool,BBB20_060,pool
BBB20_103_pool,BBB20_103,pool
BBB20_109_pool,BBB20_109,pool
BBB20_113_pool,BBB20_113,pool
BBB20_013_pool,BBB20_013,pool
BBB20_069_drone,BBB20_069,drone
BBB20_045_pool,BBB20_045,pool
BBB20_098_drone,BBB20_098,drone
BBB20_117_pool,BBB20_117,pool
BBB20_064_pool,BBB20_064,pool
BBB20_058_drone,BBB20_058,drone
BBB20_095_drone,BBB20_095,drone
BBB20_071_drone,BBB20_071,drone
BBB20_037_drone,BBB20_037,drone
BBB20_074_drone,BBB20_074,drone
BBB20_009_pool,BBB20_009,pool
BBB20_060_drone,BBB20_060,drone
BBB20_115_pool,BBB20_115,pool
BBB20_093_pool,BBB20_093,pool
BBB20_086_pool,BBB20_086,pool
BBB20_040_drone,BBB20_040,drone
BBB20_111_drone,BBB20_111,drone
BBB20_044_drone,BBB20_044,drone
BBB20_041_pool,BBB20_041,pool
BBB20_029_drone,BBB20_029,drone
BBB20_085_pool,BBB20_085,pool
BBB20_049_pool,BBB20_049,pool
BBB20_098_pool,BBB20_098,pool
BBB20_076_drone,BBB20_076,drone
BBB20_082_drone,BBB20_082,drone
BBB20_087_pool,BBB20_087,pool
BBB20_085_drone,BBB20_085,drone
BBB20_058_pool,BBB20_058,pool
BBB20_009_drone,BBB20_009,drone
BBB20_013_drone,BBB20_013,drone
BBB20_040_pool,BBB20_040,pool
BBB20_113_drone,BBB20_113,drone
BBB20_081_drone,BBB20_081,drone
BBB20_035_pool,BBB20_035,pool
BBB20_073_pool,BBB20_073,pool
BBB20_049_drone,BBB20_049,drone
BBB20_043_pool,BBB20_043,pool
BBB20_087_drone,BBB20_087,drone
BBB20_110_pool,BBB20_110,pool
BBB20_082_pool,BBB20_082,pool
BBB20_081_pool,BBB20_081,pool
BBB20_076_pool,BBB20_076,pool
BBB20_093_drone,BBB20_093,drone
BBB20_109_drone,BBB20_109,drone
BBB20_043_drone,BBB20_043,drone
BBB20_074_pool,BBB20_074,pool
BBB20_115_drone,BBB20_115,drone
BBB20_029_pool,BBB20_029,pool
BBB20_097_pool,BBB20_097,pool
BBB20_045_drone,BBB20_045,drone
BBB20_014_pool,BBB20_014,pool
BBB20_036_pool,BBB20_036,pool
BBB20_059_drone,BBB20_059,drone
BBB20_019_drone,BBB20_019,drone
BBB20_059_pool,BBB20_059,pool
BBB20_108_pool,BBB20_108,pool
BBB20_061_drone,BBB20_061,drone
BBB20_104_pool,BBB20_104,pool
BBB20_041_drone,BBB20_041,drone
BBB20_069_pool,BBB20_069,pool
BBB20_111_pool,BBB20_111,pool
BBB20_110_drone,BBB20_110,drone
BBB20_071_pool,BBB20_071,pool
BBB20_036_drone,BBB20_036,drone
BBB20_064_drone,BBB20_064,drone
BBB20_104_drone,BBB20_104,drone
BBB20_089_pool,BBB20_089,pool
BBB20_089_drone,BBB20_089,drone
BBB20_095_pool,BBB20_095,pool
BBB20_102_pool,BBB20_102,pool
BBB20_037_pool,BBB20_037,pool
BBB20_097_drone,BBB20_097,drone
