"sample_name","r1_path","r2_path","ploidy"
"BBB20_102_drone","data/reads/BBB20_102_drone_r1.fastq.gz","data/reads/BBB20_102_drone_r2.fastq.gz","1"
"BBB20_061_pool","data/reads/BBB20_061_pool_r1.fastq.gz","data/reads/BBB20_061_pool_r2.fastq.gz","2"
"BBB20_086_drone","data/reads/BBB20_086_drone_r1.fastq.gz","data/reads/BBB20_086_drone_r2.fastq.gz","1"
"BBB20_044_pool","data/reads/BBB20_044_pool_r1.fastq.gz","data/reads/BBB20_044_pool_r2.fastq.gz","2"
"BBB20_014_drone","data/reads/BBB20_014_drone_r1.fastq.gz","data/reads/BBB20_014_drone_r2.fastq.gz","1"
"BBB20_103_drone","data/reads/BBB20_103_drone_r1.fastq.gz","data/reads/BBB20_103_drone_r2.fastq.gz","1"
"BBB20_019_pool","data/reads/BBB20_019_pool_r1.fastq.gz","data/reads/BBB20_019_pool_r2.fastq.gz","2"
"BBB20_117_drone","data/reads/BBB20_117_drone_r1.fastq.gz","data/reads/BBB20_117_drone_r2.fastq.gz","1"
"BBB20_035_drone","data/reads/BBB20_035_drone_r1.fastq.gz","data/reads/BBB20_035_drone_r2.fastq.gz","1"
"BBB20_108_drone","data/reads/BBB20_108_drone_r1.fastq.gz","data/reads/BBB20_108_drone_r2.fastq.gz","1"
"BBB20_073_drone","data/reads/BBB20_073_drone_r1.fastq.gz","data/reads/BBB20_073_drone_r2.fastq.gz","1"
"BBB20_060_pool","data/reads/BBB20_060_pool_r1.fastq.gz","data/reads/BBB20_060_pool_r2.fastq.gz","2"
"BBB20_103_pool","data/reads/BBB20_103_pool_r1.fastq.gz","data/reads/BBB20_103_pool_r2.fastq.gz","2"
"BBB20_109_pool","data/reads/BBB20_109_pool_r1.fastq.gz","data/reads/BBB20_109_pool_r2.fastq.gz","2"
"BBB20_113_pool","data/reads/BBB20_113_pool_r1.fastq.gz","data/reads/BBB20_113_pool_r2.fastq.gz","2"
"BBB20_013_pool","data/reads/BBB20_013_pool_r1.fastq.gz","data/reads/BBB20_013_pool_r2.fastq.gz","2"
"BBB20_069_drone","data/reads/BBB20_069_drone_r1.fastq.gz","data/reads/BBB20_069_drone_r2.fastq.gz","1"
"BBB20_045_pool","data/reads/BBB20_045_pool_r1.fastq.gz","data/reads/BBB20_045_pool_r2.fastq.gz","2"
"BBB20_098_drone","data/reads/BBB20_098_drone_r1.fastq.gz","data/reads/BBB20_098_drone_r2.fastq.gz","1"
